file_name,site_id,flag_rain,flag_anthrophony
S4A25468_20240509_200600.wav,site_1,FALSE,FALSE
S4A25468_20240509_200600.wav,site_1,FALSE,FALSE
S4A25468_20240509_201200.wav,site_1,FALSE,FALSE
S4A25468_20240509_201200.wav,site_1,FALSE,FALSE
S4A25468_20240509_201800.wav,site_1,FALSE,FALSE
S4A25468_20240509_201800.wav,site_1,FALSE,FALSE
S4A25468_20240509_202400.wav,site_1,FALSE,FALSE
S4A25468_20240509_202400.wav,site_1,FALSE,FALSE
S4A25468_20240509_203000.wav,site_1,FALSE,FALSE
S4A25468_20240509_203000.wav,site_1,FALSE,FALSE
S4A25468_20240509_203600.wav,site_1,FALSE,FALSE
S4A25468_20240509_203600.wav,site_1,FALSE,FALSE
S4A25468_20240509_204200.wav,site_1,FALSE,FALSE
S4A25468_20240509_204200.wav,site_1,FALSE,FALSE
S4A25468_20240509_204800.wav,site_1,FALSE,FALSE
S4A25468_20240509_204800.wav,site_1,FALSE,FALSE
S4A25468_20240509_205400.wav,site_1,FALSE,FALSE
S4A25468_20240509_205400.wav,site_1,FALSE,FALSE
S4A25468_20240509_210000.wav,site_1,FALSE,FALSE
S4A25468_20240509_210000.wav,site_1,FALSE,FALSE
S4A25468_20240509_210600.wav,site_1,FALSE,FALSE
S4A25468_20240509_210600.wav,site_1,FALSE,FALSE
S4A25468_20240509_211200.wav,site_1,FALSE,FALSE
S4A25468_20240509_211200.wav,site_1,FALSE,FALSE
S4A25468_20240509_211800.wav,site_1,FALSE,FALSE
S4A25468_20240509_211800.wav,site_1,FALSE,FALSE
S4A25468_20240509_212400.wav,site_1,FALSE,FALSE
S4A25468_20240509_212400.wav,site_1,FALSE,FALSE
S4A25468_20240509_213000.wav,site_1,FALSE,FALSE
S4A25468_20240509_213000.wav,site_1,FALSE,FALSE
S4A25468_20240509_213600.wav,site_1,FALSE,FALSE
S4A25468_20240509_213600.wav,site_1,FALSE,FALSE
S4A25468_20240509_214200.wav,site_1,FALSE,FALSE
S4A25468_20240509_214200.wav,site_1,FALSE,FALSE
S4A25468_20240509_214800.wav,site_1,FALSE,FALSE
S4A25468_20240509_214800.wav,site_1,FALSE,FALSE
S4A25468_20240509_215400.wav,site_1,FALSE,FALSE
S4A25468_20240509_215400.wav,site_1,FALSE,FALSE
S4A25468_20240509_220000.wav,site_1,FALSE,FALSE
S4A25468_20240509_220000.wav,site_1,FALSE,FALSE
S4A25468_20240509_220600.wav,site_1,FALSE,FALSE
S4A25468_20240509_220600.wav,site_1,FALSE,FALSE
S4A25468_20240509_221200.wav,site_1,FALSE,FALSE
S4A25468_20240509_221200.wav,site_1,FALSE,FALSE
S4A25468_20240509_221800.wav,site_1,FALSE,FALSE
S4A25468_20240509_221800.wav,site_1,FALSE,FALSE
S4A25468_20240509_222400.wav,site_1,FALSE,FALSE
S4A25468_20240509_222400.wav,site_1,FALSE,FALSE
S4A25468_20240509_223000.wav,site_1,FALSE,FALSE
S4A25468_20240509_223000.wav,site_1,FALSE,FALSE
S4A25468_20240509_223600.wav,site_1,FALSE,FALSE
S4A25468_20240509_223600.wav,site_1,FALSE,FALSE
S4A25468_20240509_224200.wav,site_1,FALSE,FALSE
S4A25468_20240509_224200.wav,site_1,FALSE,FALSE
S4A25468_20240509_224800.wav,site_1,FALSE,FALSE
S4A25468_20240509_224800.wav,site_1,FALSE,FALSE
S4A25468_20240509_225400.wav,site_1,FALSE,FALSE
S4A25468_20240509_225400.wav,site_1,FALSE,FALSE
S4A25468_20240509_230000.wav,site_1,FALSE,FALSE
S4A25468_20240509_230000.wav,site_1,FALSE,FALSE
S4A25468_20240509_230600.wav,site_1,FALSE,FALSE
S4A25468_20240509_230600.wav,site_1,FALSE,FALSE
S4A25468_20240509_231200.wav,site_1,FALSE,FALSE
S4A25468_20240509_231200.wav,site_1,FALSE,FALSE
S4A25468_20240509_231800.wav,site_1,FALSE,FALSE
S4A25468_20240509_231800.wav,site_1,FALSE,FALSE
S4A25468_20240509_232400.wav,site_1,FALSE,FALSE
S4A25468_20240509_232400.wav,site_1,FALSE,FALSE
S4A25468_20240509_233000.wav,site_1,FALSE,FALSE
S4A25468_20240509_233000.wav,site_1,FALSE,FALSE
S4A25468_20240509_233600.wav,site_1,FALSE,FALSE
S4A25468_20240509_233600.wav,site_1,FALSE,FALSE
S4A25468_20240509_234200.wav,site_1,FALSE,FALSE
S4A25468_20240509_234200.wav,site_1,FALSE,FALSE
S4A25468_20240509_234800.wav,site_1,FALSE,FALSE
S4A25468_20240509_234800.wav,site_1,FALSE,FALSE
S4A25468_20240509_235400.wav,site_1,FALSE,FALSE
S4A25468_20240509_235400.wav,site_1,FALSE,FALSE
S4A25468_20240510_000000.wav,site_1,FALSE,FALSE
S4A25468_20240510_000000.wav,site_1,FALSE,FALSE
